Cluster,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_year,Day_of_Week,Hour,Local_Authority_(District),1st_Road_Class,1st_Road_Number,Speed_limit,Weather_Conditions,Road_Surface_Conditions,Accident
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
1,-0.043075,51.512977,3,2,1,12,3,14,5,3,13,20,Fine without high winds,Dry,1
