Longitude,Latitude,Cluster,Day_of_Week,Hour,Day_of_year,Local_Authority_(District),1st_Road_Class,1st_Road_Number,Speed_limit,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Weather_Conditions,Road_Surface_Conditions,Accident
-0.26124400000000003,51.551665,1,5,9,156,28,3,406,40,3,1,1,Fine without high winds,Dry,1
-0.26124400000000003,51.551665,1,4,4,147,28,3,406,40,3,1,1,Fine without high winds,Dry,0
-0.26124400000000003,51.551665,1,6,21,331,28,3,406,40,3,1,1,Fine without high winds,Dry,0
-0.26124400000000003,51.551665,1,0,5,353,28,3,406,40,3,1,1,Fine without high winds,Dry,0
-0.05311799999999999,51.514043,2,1,23,222,5,3,13,30,3,2,1,Fine without high winds,Dry,1
-0.05311799999999999,51.514043,2,6,19,177,5,3,13,30,3,2,1,Fine without high winds,Dry,0
-0.05311799999999999,51.514043,2,1,1,193,5,3,13,30,3,2,1,Fine without high winds,Dry,0
-0.05311799999999999,51.514043,2,6,21,121,5,3,13,30,3,2,1,Fine without high winds,Dry,0
-0.43190100000000003,52.118835,3,5,17,170,420,6,0,40,2,2,1,Fine without high winds,Dry,1
-0.43190100000000003,52.118835,3,6,20,198,420,6,0,40,2,2,1,Fine without high winds,Dry,0
-0.43190100000000003,52.118835,3,6,13,2,420,6,0,40,2,2,1,Fine without high winds,Dry,0
-0.43190100000000003,52.118835,3,0,6,38,420,6,0,40,2,2,1,Fine without high winds,Dry,0
-0.137704,51.461965,4,6,17,226,9,3,3,30,3,2,1,Fine without high winds,Dry,1
-0.137704,51.461965,4,6,15,65,9,3,3,30,3,2,1,Fine without high winds,Dry,0
-0.137704,51.461965,4,2,13,124,9,3,3,30,3,2,1,Fine without high winds,Dry,0
-0.137704,51.461965,4,1,0,186,9,3,3,30,3,2,1,Fine without high winds,Dry,0
-2.192965,52.14767,5,6,17,331,273,1,5,70,3,3,1,Fine without high winds,Dry,1
-2.192965,52.14767,5,4,21,343,273,1,5,70,3,3,1,Fine without high winds,Dry,0
-2.192965,52.14767,5,5,18,204,273,1,5,70,3,3,1,Fine without high winds,Dry,0
-2.192965,52.14767,5,2,8,173,273,1,5,70,3,3,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,6,4,17,133,71,4,5266,30,3,2,3,Fine without high winds,Dry,1
-3.01402,53.82524599999989,6,0,7,94,71,4,5266,30,3,2,3,Fine without high winds,Dry,0
-3.01402,53.82524599999989,6,4,6,70,71,4,5266,30,3,2,3,Fine without high winds,Dry,0
-3.01402,53.82524599999989,6,2,9,215,71,4,5266,30,3,2,3,Fine without high winds,Dry,0
0.152876,51.070747999999895,7,2,8,348,556,6,0,40,2,2,1,Fine without high winds,Dry,1
0.152876,51.070747999999895,7,3,14,20,556,6,0,40,2,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,7,3,23,34,556,6,0,40,2,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,7,0,2,122,556,6,0,40,2,2,1,Fine without high winds,Dry,0
-0.26124400000000003,51.551665,1,5,9,156,28,3,406,40,3,1,1,Fine without high winds,Dry,1
-0.26124400000000003,51.551665,1,5,14,169,28,3,406,40,3,1,1,Fine without high winds,Dry,0
-0.26124400000000003,51.551665,1,0,18,234,28,3,406,40,3,1,1,Fine without high winds,Dry,0
-0.26124400000000003,51.551665,1,1,10,284,28,3,406,40,3,1,1,Fine without high winds,Dry,0
-0.137704,51.461965,4,6,17,226,9,3,3,30,3,2,1,Fine without high winds,Dry,1
-0.137704,51.461965,4,5,5,316,9,3,3,30,3,2,1,Fine without high winds,Dry,0
-0.137704,51.461965,4,4,12,203,9,3,3,30,3,2,1,Fine without high winds,Dry,0
-0.137704,51.461965,4,6,23,345,9,3,3,30,3,2,1,Fine without high winds,Dry,0
-0.43190100000000003,52.118835,8,5,17,170,420,6,0,40,2,2,1,Fine without high winds,Dry,1
-0.43190100000000003,52.118835,8,1,9,347,420,6,0,40,2,2,1,Fine without high winds,Dry,0
-0.43190100000000003,52.118835,8,4,5,140,420,6,0,40,2,2,1,Fine without high winds,Dry,0
-0.43190100000000003,52.118835,8,2,5,236,420,6,0,40,2,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,7,2,8,348,556,6,0,40,2,2,1,Fine without high winds,Dry,1
0.152876,51.070747999999895,7,4,22,42,556,6,0,40,2,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,7,0,23,52,556,6,0,40,2,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,7,4,11,182,556,6,0,40,2,2,1,Fine without high winds,Dry,0
-0.137828,51.518477000000004,9,7,13,18,1,4,506,30,3,1,1,Raining without high winds,Wet/Damp,1
-0.137828,51.518477000000004,9,4,8,266,1,4,506,30,3,1,1,Raining without high winds,Wet/Damp,0
-0.137828,51.518477000000004,9,0,22,66,1,4,506,30,3,1,1,Raining without high winds,Wet/Damp,0
-0.137828,51.518477000000004,9,4,8,91,1,4,506,30,3,1,1,Raining without high winds,Wet/Damp,0
-3.01402,53.82524599999989,10,3,9,161,71,6,0,30,3,2,1,Fine without high winds,Dry,1
-3.01402,53.82524599999989,10,0,16,353,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,10,1,12,200,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,10,1,16,179,71,6,0,30,3,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,7,2,8,348,556,6,0,40,2,2,1,Fine without high winds,Dry,1
0.152876,51.070747999999895,7,2,12,334,556,6,0,40,2,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,7,6,3,317,556,6,0,40,2,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,7,4,13,357,556,6,0,40,2,2,1,Fine without high winds,Dry,0
-0.247991,51.506648,11,2,22,334,27,3,4020,30,3,2,1,Raining without high winds,Wet/Damp,1
-0.247991,51.506648,11,1,4,347,27,3,4020,30,3,2,1,Raining without high winds,Wet/Damp,0
-0.247991,51.506648,11,0,2,248,27,3,4020,30,3,2,1,Raining without high winds,Wet/Damp,0
-0.247991,51.506648,11,3,15,174,27,3,4020,30,3,2,1,Raining without high winds,Wet/Damp,0
-3.01402,53.82524599999989,6,4,17,133,71,4,5266,30,3,2,3,Fine without high winds,Dry,1
-3.01402,53.82524599999989,6,5,11,288,71,4,5266,30,3,2,3,Fine without high winds,Dry,0
-3.01402,53.82524599999989,6,1,9,319,71,4,5266,30,3,2,3,Fine without high winds,Dry,0
-3.01402,53.82524599999989,6,2,0,47,71,4,5266,30,3,2,3,Fine without high winds,Dry,0
0.152881,51.460406,12,6,13,142,18,3,220,30,3,2,1,Fine without high winds,Dry,1
0.152881,51.460406,12,2,8,82,18,3,220,30,3,2,1,Fine without high winds,Dry,0
0.152881,51.460406,12,6,6,37,18,3,220,30,3,2,1,Fine without high winds,Dry,0
0.152881,51.460406,12,3,1,41,18,3,220,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,10,3,9,161,71,6,0,30,3,2,1,Fine without high winds,Dry,1
-3.01402,53.82524599999989,10,1,4,305,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,10,6,1,93,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,10,1,3,116,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,13,3,9,161,71,6,0,30,3,2,1,Fine without high winds,Dry,1
-3.01402,53.82524599999989,13,1,9,25,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,13,4,7,56,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,13,5,6,1,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-0.26124400000000003,51.551665,1,5,9,156,28,3,406,40,3,1,1,Fine without high winds,Dry,1
-0.26124400000000003,51.551665,1,3,14,195,28,3,406,40,3,1,1,Fine without high winds,Dry,0
-0.26124400000000003,51.551665,1,2,23,194,28,3,406,40,3,1,1,Fine without high winds,Dry,0
-0.26124400000000003,51.551665,1,6,7,254,28,3,406,40,3,1,1,Fine without high winds,Dry,0
0.047395,51.550641,14,6,16,363,17,3,117,30,3,2,2,Fine without high winds,Dry,1
0.047395,51.550641,14,0,21,10,17,3,117,30,3,2,2,Fine without high winds,Dry,0
0.047395,51.550641,14,0,2,241,17,3,117,30,3,2,2,Fine without high winds,Dry,0
0.047395,51.550641,14,4,3,161,17,3,117,30,3,2,2,Fine without high winds,Dry,0
-0.05469500000000001,51.403063,15,2,17,344,19,3,214,30,3,2,1,Fine without high winds,Wet/Damp,1
-0.05469500000000001,51.403063,15,0,14,318,19,3,214,30,3,2,1,Fine without high winds,Wet/Damp,0
-0.05469500000000001,51.403063,15,0,6,318,19,3,214,30,3,2,1,Fine without high winds,Wet/Damp,0
-0.05469500000000001,51.403063,15,3,18,41,19,3,214,30,3,2,1,Fine without high winds,Wet/Damp,0
-2.192965,52.14767,16,6,17,331,273,1,5,70,3,3,1,Fine without high winds,Dry,1
-2.192965,52.14767,16,3,16,139,273,1,5,70,3,3,1,Fine without high winds,Dry,0
-2.192965,52.14767,16,4,17,84,273,1,5,70,3,3,1,Fine without high winds,Dry,0
-2.192965,52.14767,16,2,16,194,273,1,5,70,3,3,1,Fine without high winds,Dry,0
-0.14460399999999998,51.514897,17,6,17,87,1,3,40,30,3,1,1,Fine without high winds,Dry,1
-0.14460399999999998,51.514897,17,0,10,241,1,3,40,30,3,1,1,Fine without high winds,Dry,0
-0.14460399999999998,51.514897,17,5,12,351,1,3,40,30,3,1,1,Fine without high winds,Dry,0
-0.14460399999999998,51.514897,17,2,15,201,1,3,40,30,3,1,1,Fine without high winds,Dry,0
0.152881,51.460406,18,6,13,142,18,3,220,30,3,2,1,Fine without high winds,Dry,1
0.152881,51.460406,18,3,12,279,18,3,220,30,3,2,1,Fine without high winds,Dry,0
0.152881,51.460406,18,5,17,365,18,3,220,30,3,2,1,Fine without high winds,Dry,0
0.152881,51.460406,18,0,22,17,18,3,220,30,3,2,1,Fine without high winds,Dry,0
-2.192971,53.839713,19,4,9,300,77,6,0,20,3,2,1,Fine without high winds,Dry,1
-2.192971,53.839713,19,3,3,293,77,6,0,20,3,2,1,Fine without high winds,Dry,0
-2.192971,53.839713,19,0,11,178,77,6,0,20,3,2,1,Fine without high winds,Dry,0
-2.192971,53.839713,19,4,23,364,77,6,0,20,3,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,7,2,8,348,556,6,0,40,2,2,1,Fine without high winds,Dry,1
0.152876,51.070747999999895,7,4,13,49,556,6,0,40,2,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,7,4,2,196,556,6,0,40,2,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,7,1,6,179,556,6,0,40,2,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,20,2,8,348,556,6,0,40,2,2,1,Fine without high winds,Dry,1
0.152876,51.070747999999895,20,1,6,361,556,6,0,40,2,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,20,6,13,212,556,6,0,40,2,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,20,2,21,243,556,6,0,40,2,2,1,Fine without high winds,Dry,0
-3.0139810000000002,56.190406,21,2,15,109,925,3,955,30,3,1,1,Fine without high winds,Dry,1
-3.0139810000000002,56.190406,21,3,1,132,925,3,955,30,3,1,1,Fine without high winds,Dry,0
-3.0139810000000002,56.190406,21,2,2,348,925,3,955,30,3,1,1,Fine without high winds,Dry,0
-3.0139810000000002,56.190406,21,2,6,208,925,3,955,30,3,1,1,Fine without high winds,Dry,0
-0.181383,51.481660999999995,22,6,18,284,12,3,3217,30,2,2,1,Fine without high winds,Dry,1
-0.181383,51.481660999999995,22,1,9,11,12,3,3217,30,2,2,1,Fine without high winds,Dry,0
-0.181383,51.481660999999995,22,2,21,278,12,3,3217,30,2,2,1,Fine without high winds,Dry,0
-0.181383,51.481660999999995,22,0,16,227,12,3,3217,30,2,2,1,Fine without high winds,Dry,0
-0.431907,51.580739,23,6,19,352,26,3,4180,30,3,3,1,Fine without high winds,Dry,1
-0.431907,51.580739,23,4,10,14,26,3,4180,30,3,3,1,Fine without high winds,Dry,0
-0.431907,51.580739,23,3,1,265,26,3,4180,30,3,3,1,Fine without high winds,Dry,0
-0.431907,51.580739,23,4,0,42,26,3,4180,30,3,3,1,Fine without high winds,Dry,0
-0.014536000000000002,51.529583,24,4,14,151,5,3,11,30,3,1,1,Fine without high winds,Dry,1
-0.014536000000000002,51.529583,24,3,11,258,5,3,11,30,3,1,1,Fine without high winds,Dry,0
-0.014536000000000002,51.529583,24,0,15,3,5,3,11,30,3,1,1,Fine without high winds,Dry,0
-0.014536000000000002,51.529583,24,3,20,139,5,3,11,30,3,1,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,10,3,9,161,71,6,0,30,3,2,1,Fine without high winds,Dry,1
-3.01402,53.82524599999989,10,4,12,308,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,10,5,4,288,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,10,1,12,172,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-0.13071,51.516294,25,4,16,298,2,3,40,30,3,1,1,Fine without high winds,Dry,1
-0.13071,51.516294,25,5,10,218,2,3,40,30,3,1,1,Fine without high winds,Dry,0
-0.13071,51.516294,25,2,12,320,2,3,40,30,3,1,1,Fine without high winds,Dry,0
-0.13071,51.516294,25,6,9,9,2,3,40,30,3,1,1,Fine without high winds,Dry,0
0.08392000000000001,51.57338,26,3,15,175,14,3,12,30,3,3,2,Fine without high winds,Dry,1
0.08392000000000001,51.57338,26,0,15,346,14,3,12,30,3,3,2,Fine without high winds,Dry,0
0.08392000000000001,51.57338,26,3,14,244,14,3,12,30,3,3,2,Fine without high winds,Dry,0
0.08392000000000001,51.57338,26,2,20,299,14,3,12,30,3,3,2,Fine without high winds,Dry,0
-0.137751,51.485022,27,7,16,86,1,3,3212,30,2,2,1,Fine without high winds,Dry,1
-0.137751,51.485022,27,2,12,243,1,3,3212,30,2,2,1,Fine without high winds,Dry,0
-0.137751,51.485022,27,3,21,132,1,3,3212,30,2,2,1,Fine without high winds,Dry,0
-0.137751,51.485022,27,6,6,23,1,3,3212,30,2,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,28,3,9,161,71,6,0,30,3,2,1,Fine without high winds,Dry,1
-3.01402,53.82524599999989,28,6,16,9,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,28,0,15,332,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,28,6,6,128,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,10,3,9,161,71,6,0,30,3,2,1,Fine without high winds,Dry,1
-3.01402,53.82524599999989,10,5,14,344,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,10,5,7,36,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,10,4,20,301,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-0.43190100000000003,52.118835,8,5,17,170,420,6,0,40,2,2,1,Fine without high winds,Dry,1
-0.43190100000000003,52.118835,8,2,4,187,420,6,0,40,2,2,1,Fine without high winds,Dry,0
-0.43190100000000003,52.118835,8,6,10,268,420,6,0,40,2,2,1,Fine without high winds,Dry,0
-0.43190100000000003,52.118835,8,2,4,33,420,6,0,40,2,2,1,Fine without high winds,Dry,0
-0.128959,51.513298999999996,29,2,10,343,1,3,401,30,3,2,1,Fine without high winds,Dry,1
-0.128959,51.513298999999996,29,5,3,85,1,3,401,30,3,2,1,Fine without high winds,Dry,0
-0.128959,51.513298999999996,29,5,3,162,1,3,401,30,3,2,1,Fine without high winds,Dry,0
-0.128959,51.513298999999996,29,0,13,206,1,3,401,30,3,2,1,Fine without high winds,Dry,0
-0.10957,51.612536999999996,30,4,8,344,32,3,105,30,3,1,1,Fine without high winds,Dry,1
-0.10957,51.612536999999996,30,2,20,299,32,3,105,30,3,1,1,Fine without high winds,Dry,0
-0.10957,51.612536999999996,30,0,15,108,32,3,105,30,3,1,1,Fine without high winds,Dry,0
-0.10957,51.612536999999996,30,5,6,197,32,3,105,30,3,1,1,Fine without high winds,Dry,0
-3.014019,56.497049,31,1,17,172,918,6,0,30,3,1,2,Fine without high winds,Dry,1
-3.014019,56.497049,31,0,7,325,918,6,0,30,3,1,2,Fine without high winds,Dry,0
-3.014019,56.497049,31,4,15,42,918,6,0,30,3,1,2,Fine without high winds,Dry,0
-3.014019,56.497049,31,2,11,208,918,6,0,30,3,1,2,Fine without high winds,Dry,0
-0.110881,51.59835,32,7,0,203,31,3,105,30,3,2,2,Fine without high winds,Dry,1
-0.110881,51.59835,32,0,19,339,31,3,105,30,3,2,2,Fine without high winds,Dry,0
-0.110881,51.59835,32,1,23,256,31,3,105,30,3,2,2,Fine without high winds,Dry,0
-0.110881,51.59835,32,4,9,322,31,3,105,30,3,2,2,Fine without high winds,Dry,0
-0.137828,51.518477000000004,9,7,13,18,1,4,506,30,3,1,1,Raining without high winds,Wet/Damp,1
-0.137828,51.518477000000004,9,3,7,6,1,4,506,30,3,1,1,Raining without high winds,Wet/Damp,0
-0.137828,51.518477000000004,9,4,14,119,1,4,506,30,3,1,1,Raining without high winds,Wet/Damp,0
-0.137828,51.518477000000004,9,4,12,245,1,4,506,30,3,1,1,Raining without high winds,Wet/Damp,0
-2.192965,52.14767,5,6,17,331,273,1,5,70,3,3,1,Fine without high winds,Dry,1
-2.192965,52.14767,5,6,2,359,273,1,5,70,3,3,1,Fine without high winds,Dry,0
-2.192965,52.14767,5,6,21,338,273,1,5,70,3,3,1,Fine without high winds,Dry,0
-2.192965,52.14767,5,3,2,174,273,1,5,70,3,3,1,Fine without high winds,Dry,0
-0.140716,51.507731,33,7,7,228,1,3,4,30,3,1,1,Fine without high winds,Dry,1
-0.140716,51.507731,33,4,23,91,1,3,4,30,3,1,1,Fine without high winds,Dry,0
-0.140716,51.507731,33,4,19,147,1,3,4,30,3,1,1,Fine without high winds,Dry,0
-0.140716,51.507731,33,2,5,180,1,3,4,30,3,1,1,Fine without high winds,Dry,0
-0.137828,51.518477000000004,9,7,13,18,1,4,506,30,3,1,1,Raining without high winds,Wet/Damp,1
-0.137828,51.518477000000004,9,4,3,49,1,4,506,30,3,1,1,Raining without high winds,Wet/Damp,0
-0.137828,51.518477000000004,9,3,8,34,1,4,506,30,3,1,1,Raining without high winds,Wet/Damp,0
-0.137828,51.518477000000004,9,5,1,344,1,4,506,30,3,1,1,Raining without high winds,Wet/Damp,0
0.152873,51.460226,34,3,14,98,18,3,220,30,2,1,1,Fine without high winds,Dry,1
0.152873,51.460226,34,2,7,320,18,3,220,30,2,1,1,Fine without high winds,Dry,0
0.152873,51.460226,34,2,4,215,18,3,220,30,2,1,1,Fine without high winds,Dry,0
0.152873,51.460226,34,5,7,71,18,3,220,30,2,1,1,Fine without high winds,Dry,0
-0.192889,51.456569,35,7,20,19,10,3,217,30,3,2,2,Snowing without high winds,Snow,1
-0.192889,51.456569,35,6,3,247,10,3,217,30,3,2,2,Snowing without high winds,Snow,0
-0.192889,51.456569,35,6,5,65,10,3,217,30,3,2,2,Snowing without high winds,Snow,0
-0.192889,51.456569,35,2,23,173,10,3,217,30,3,2,2,Snowing without high winds,Snow,0
-3.01402,53.82524599999989,10,3,9,161,71,6,0,30,3,2,1,Fine without high winds,Dry,1
-3.01402,53.82524599999989,10,0,10,10,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,10,5,19,141,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,10,0,0,24,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,28,3,9,161,71,6,0,30,3,2,1,Fine without high winds,Dry,1
-3.01402,53.82524599999989,28,2,3,103,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,28,6,1,268,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-3.01402,53.82524599999989,28,3,15,209,71,6,0,30,3,2,1,Fine without high winds,Dry,0
-0.086286,51.616656,36,6,9,69,32,3,10,30,3,2,1,Fine without high winds,Dry,1
-0.086286,51.616656,36,3,12,321,32,3,10,30,3,2,1,Fine without high winds,Dry,0
-0.086286,51.616656,36,6,15,282,32,3,10,30,3,2,1,Fine without high winds,Dry,0
-0.086286,51.616656,36,1,0,130,32,3,10,30,3,2,1,Fine without high winds,Dry,0
-0.43190100000000003,52.118835,8,5,17,170,420,6,0,40,2,2,1,Fine without high winds,Dry,1
-0.43190100000000003,52.118835,8,6,5,198,420,6,0,40,2,2,1,Fine without high winds,Dry,0
-0.43190100000000003,52.118835,8,0,12,94,420,6,0,40,2,2,1,Fine without high winds,Dry,0
-0.43190100000000003,52.118835,8,4,18,189,420,6,0,40,2,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,7,2,8,348,556,6,0,40,2,2,1,Fine without high winds,Dry,1
0.152876,51.070747999999895,7,5,9,148,556,6,0,40,2,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,7,0,22,332,556,6,0,40,2,2,1,Fine without high winds,Dry,0
0.152876,51.070747999999895,7,6,20,226,556,6,0,40,2,2,1,Fine without high winds,Dry,0
-0.24757300000000002,51.535815,37,1,14,136,28,3,404,30,3,1,1,Fine without high winds,Dry,1
-0.24757300000000002,51.535815,37,3,23,230,28,3,404,30,3,1,1,Fine without high winds,Dry,0
-0.24757300000000002,51.535815,37,2,21,243,28,3,404,30,3,1,1,Fine without high winds,Dry,0
-0.24757300000000002,51.535815,37,2,8,229,28,3,404,30,3,1,1,Fine without high winds,Dry,0
0.152873,51.460226,34,3,14,98,18,3,220,30,2,1,1,Fine without high winds,Dry,1
0.152873,51.460226,34,1,20,326,18,3,220,30,2,1,1,Fine without high winds,Dry,0
0.152873,51.460226,34,1,17,193,18,3,220,30,2,1,1,Fine without high winds,Dry,0
